Name,Type,TermStart,TermEnd,State,Constituency,Party,Gender,Education,EducationDetails,Age,Debates,PrivateMemberBills,Questions,Attendance,Notes,NationalDebatesAverage,NationalPrivateMemberBillsAverage,NationalQuestionsAverage,NationalAttendanceAverage,StateDebatesAverage,StatePrivateMemberBillsAverage,StateQuestionsAverage,StateAttendanceAverage
Sadhu Singh,Elected,18-May-14,In office,Punjab,Faridkot,Aam Aadmi Party,Male,Post Graduate,Information not available,73,1,0,6,73, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4,0,9,80%
Sakuntala Laguri,Elected,18-May-14,In office,Odisha,Keonjhar,Biju Janata Dal,Female,Under Matric,Information not available,34,1,0,11,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Sambasiva Rayapati Rao,Elected,18-May-14,In office,Andhra Pradesh,Narasaraopet,Telugu Desam Party,Male,Graduate,"B.Sc.; Educated at New Science College, Hyderabad, Andhra Pradesh",71,1,0,23,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Sandhya Roy,Elected,18-May-14,In office,West Bengal,Medinipur,All India Trinamool Congress,Female,Under Matric,Information not available,73,1,0,0,73, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Sanjay (Bandu) Haribhau Jadhav,Elected,18-May-14,In office,Maharashtra,Parbhani,Shiv Sena,Male,Under Matric,Information not available,47,3,0,15,73, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Sanjay Jaiswal,Elected,18-May-14,In office,Bihar,Paschim Champaran,Bharatiya Janata Party,Male,Post Graduate,"M.B.B.S., M.D. (General Medicine); Educated at Patna Medical College and Darbhanga Medical College",48,7,0,35,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Sanjay Shamrao Dhotre,Elected,18-May-14,In office,Maharashtra,Akola,Bharatiya Janata Party,Male,Graduate,"B.E. (Mech.); Educated at Government College of Engineering, Amravati, Maharashtra",55,3,0,30,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Sanjaykaka Patil,Elected,18-May-14,In office,Maharashtra,Sangli,Bharatiya Janata Party,Male,Under Matric,Information not available,49,0,0,1,55, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Sanjeev Kumar Balyan,Elected,18-May-14,In office,Uttar Pradesh,Muzaffarnagar,Bharatiya Janata Party,Male,Doctorate,Information not available,41,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Sankar Prasad Datta,Elected,18-May-14,In office,Tripura,Tripura West,Communist Party of India (Marxist),Male,Post Graduate,Information not available,56,2,0,10,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4,0,16,84%
Santokh Singh Chaudhary,Elected,18-May-14,In office,Punjab,Jalandhar,Indian National Congress,Male,Graduate,Information not available,67,3,0,2,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4,0,9,80%
Santosh Ahlawat,Elected,18-May-14,In office,Rajasthan,Jhunjhunu,Bharatiya Janata Party,Female,Post Graduate,Information not available,57,10,0,18,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Santosh Kumar,Elected,18-May-14,In office,Bihar,Purnia,Janata Dal (United),Male,Inter/ Higher Secondary,Information not available,35,6,0,2,68, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Santosh Kumar Gangwar,Elected,18-May-14,In office,Uttar Pradesh,Bareilly,Bharatiya Janata Party,Male,Graduate,Information not available,64,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Sanwar Lal Jat,Elected,18-May-14,In office,Rajasthan,Ajmer,Bharatiya Janata Party,Male,Doctorate,Information not available,59,0,0,0,9, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Sarbananda Sonowal,Elected,18-May-14,In office,Assam,Lakhimpur,Bharatiya Janata Party,Male,Graduate,Information not available,52,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Satabdi Roy,Elected,18-May-14,In office,West Bengal,Birbhum,All India Trinamool Congress,Female,Graduate,B.A.,44,2,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Satish Chandra Dubey,Elected,18-May-14,In office,Bihar,Valmiki Nagar,Bharatiya Janata Party,Male,Under Matric,Information not available,39,1,0,5,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Satish Kumar,Elected,18-May-14,In office,Uttar Pradesh,Aligarh,Bharatiya Janata Party,Male,Under Matric,Information not available,42,3,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Satya Pal Singh,Elected,18-May-14,In office,Uttar Pradesh,Baghpat,Bharatiya Janata Party,Male,Doctorate,Information not available,58,3,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Satyapal Singh,Elected,18-May-14,In office,Uttar Pradesh,Sambhal,Bharatiya Janata Party,Male,Post Graduate,Information not available,40,6,0,2,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Saugata Roy,Elected,18-May-14,In office,West Bengal,Dum Dum,All India Trinamool Congress,Male,Post Graduate,"M.Sc., LL.B.; Jogesh Chandra Law College, Kolkata-33",67,18,0,75,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Saumitra Khan,Elected,18-May-14,In office,West Bengal,Bishnupur,All India Trinamool Congress,Male,Inter/ Higher Secondary,Information not available,34,0,0,0,41, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Savitri Bai Foole,Elected,18-May-14,In office,Uttar Pradesh,Bahraich,Bharatiya Janata Party,Female,Graduate,Information not available,33,4,0,0,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Savitri Thakur,Elected,18-May-14,In office,Madhya Pradesh,Dhar,Bharatiya Janata Party,Female,Under Matric,Information not available,35,0,0,4,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Shailesh Kumar Urph Bulo Mandal,Elected,18-May-14,In office,Bihar,Bhagalpur,Rashtriya Janata Dal,Male,Inter/ Higher Secondary,Information not available,38,7,0,15,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Shanta Kumar,Elected,18-May-14,In office,Himachal Pradesh,Kangra,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B. ; Educated at Panjab University and Delhi Law College, Delhi",79,0,0,1,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,19,93%
Sharad Bansode,Elected,18-May-14,In office,Maharashtra,Solapur,Bharatiya Janata Party,Male,Graduate,Information not available,46,0,0,0,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Sharad Tripathi,Elected,18-May-14,In office,Uttar Pradesh,Sant Kabir Nagar,Bharatiya Janata Party,Male,Post Graduate,Information not available,42,14,2,3,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Shashi Tharoor,Elected,18-May-14,In office,Kerala,Thiruvananthapuram,Indian National Congress,Male,Doctorate,"Ph.D., D.Litt. (Hons.), M.A., M.A.L.D. and B.A. (Hons.); Educated at St Stephen`s College, New Delhi and Fletcher School of Law and Diplomacy at Tufts University, USA",58,4,0,25,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
Shatrughan Sinha,Elected,18-May-14,In office,Bihar,Patna Sahib,Bharatiya Janata Party,Male,Graduate,"Educated at Film & Television Institute of Pune (FTII), Maharashtra",68,0,0,0,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Sher Singh Ghubaya,Elected,18-May-14,In office,Punjab,Ferozpur,Shiromani Akali Dal,Male,Matric,,52,3,0,3,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4,0,9,80%
Shibu Soren,Elected,18-May-14,In office,Jharkhand,Dumka,Jharkhand Mukti Morcha,Male,Matric,"Educated at Gola High School, Hazaribagh (Jharkhand) ",70,0,0,0,9, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.3,25,90%
Shivaji Adhalrao Patil,Elected,18-May-14,In office,Maharashtra,Shirur,Shiv Sena,Male,Inter/ Higher Secondary,"Intermediate (Arts); Educated at Shivaji University, Kolhapur, Maharashtra.",58,3,0,78,64, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Shobha Karandlaje,Elected,18-May-14,In office,Karnataka,Udupi Chikmagalur,Bharatiya Janata Party,Female,Post Graduate,Information not available,47,8,0,76,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
Shrikant Eknath Shinde,Elected,18-May-14,In office,Maharashtra,Kalyan,Shiv Sena,Male,Graduate,Information not available,27,8,0,18,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,Elected,18-May-14,In office,Maharashtra,Satara,Nationalist Congress Party,Male,Post Graduate,"Production Engg., Educated at Bharati Vidyapeeth",48,0,0,0,36, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Shripad Yesso Naik,Elected,18-May-14,In office,Goa,North Goa,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at Goa and Bombay University, Mumbai (Maharashtra) ",61,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Shyama Charan Gupta,Elected,18-May-14,In office,Uttar Pradesh,Allahabad,Bharatiya Janata Party,Male,Graduate,Information not available,69,0,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Sidhant Mohapatra,Elected,18-May-14,In office,Odisha,Berhampur,Biju Janata Dal,Male,Post Graduate,M.B.A.; Educated at Institute of Marketing and Management,48,2,0,0,64, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Siraj Uddin Ajmal,Elected,18-May-14,In office,Assam,Barpeta,All India United Democratic Front,Male,Graduate,Information not available,57,0,0,12,14, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.6,0,10,85%
Sisir Kumar Adhikari,Elected,18-May-14,In office,West Bengal,Kanthi,All India Trinamool Congress,Male,Inter/ Higher Secondary,I.Sc.,72,0,0,5,64, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Sona Ram,Elected,18-May-14,In office,Rajasthan,Barmer,Bharatiya Janata Party,Male,Graduate,Information not available,73,2,0,21,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Sonia Gandhi,Elected,18-May-14,In office,Uttar Pradesh,Rae Bareli,Indian National Congress,Female,Diploma Course,"(i) Three years course in foreign languages (English & French) completed in 1964 at Istituto Santa Teresa, Turin (Italy); (ii) Certificate in English from Lennox Cook School, Cambridge (U.K.) completed in 1965.",67,1,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Sreemati Dev Varma (Moon Moon Sen),Elected,18-May-14,In office,West Bengal,Bankura,All India Trinamool Congress,Female,Post Graduate,Information not available,60,0,0,0,68, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Subhash Baheria,Elected,18-May-14,In office,Rajasthan,Bhilwara,Bharatiya Janata Party,Male,Graduate,Information not available,57,3,0,1,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Subhash Patel,Elected,18-May-14,In office,Madhya Pradesh,Khargone,Bharatiya Janata Party,Male,Post Graduate,Information not available,36,0,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Subhash Ramrao Bhamre,Elected,18-May-14,In office,Maharashtra,Dhule,Bharatiya Janata Party,Male,Graduate,Information not available,61,1,0,2,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Subrata Bakshi,Elected,18-May-14,In office,West Bengal,Kolkata Dakshin,All India Trinamool Congress,Male,Professional Graduate,"B.Sc., LL.B.",64,0,0,0,41, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Sudarshan Bhagat,Elected,18-May-14,In office,Jharkhand,Lohardaga,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.); Educated at Kartik Uraon College, Gumla, University of Ranchi, Jharkhand",44,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Sudhir Gupta,Elected,18-May-14,In office,Madhya Pradesh,Mandsour,Bharatiya Janata Party,Male,Post Graduate,Information not available,54,2,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Sudip Bandyopadhyay,Elected,18-May-14,In office,West Bengal,Kolkata Uttar,All India Trinamool Congress,Male,Graduate,"B.Sc.; Educated at K.N. College, Berhampore, West Bengal",61,7,0,0,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Sugata Bose,Elected,18-May-14,In office,West Bengal,Jadavpur,All India Trinamool Congress,Male,Doctorate,Information not available,57,3,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Sukender Reddy Gutha,Elected,18-May-14,In office,Telangana,Nalgonda,Indian National Congress,Male,Graduate,"B.Sc.; Educated at Osmania University, Hyderabad, Andhra Pradesh",60,1,0,0,32, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,14,85%
Sukhbir Singh Jaunapuria,Elected,18-May-14,In office,Rajasthan,Tonk-Sawai Madhopur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,56,2,0,4,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Sultan Ahmed,Elected,18-May-14,In office,West Bengal,Uluberia,All India Trinamool Congress,Male,Graduate,"Calcutta University, West Bengal",61,6,0,26,64, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Sumedhanand Saraswati,Elected,18-May-14,In office,Rajasthan,Sikar,Bharatiya Janata Party,Male,others,Information not available,62,3,0,3,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Sumitra Mahajan,Elected,18-May-14,In office,Madhya Pradesh,Indore,Bharatiya Janata Party,Female,Post Graduate,"M.A., LL.B.; Educated at Indore University, Indore (Madhya Pradesh) ",71,0,0,0,0,"As a Speaker, this MP does not sign the attendance register and participate in debates and questions. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Sunil Baliram Gaikwad,Elected,18-May-14,In office,Maharashtra,Latur,Bharatiya Janata Party,Male,Doctorate,Information not available,43,2,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Sunil Kumar Mondal,Elected,18-May-14,In office,West Bengal,Bardhaman Purba,All India Trinamool Congress,Male,Graduate,Information not available,55,1,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Sunil Kumar Singh,Elected,18-May-14,In office,Jharkhand,Chatra,Bharatiya Janata Party,Male,Post Graduate,Information not available,52,10,0,67,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.3,25,90%
Supriya Sule,Elected,18-May-14,In office,Maharashtra,Baramati,Nationalist Congress Party,Female,Graduate,"B.Sc. (Microbiology); Educated at Jai Hind College, Mumbai, Maharashtra",45,7,0,79,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Suresh Channabasappa Angadi,Elected,18-May-14,In office,Karnataka,Belgaum,Bharatiya Janata Party,Male,Graduate,"B. Com, LL.B. (Spl.); Educated at S.S. S. Samiti College of Commerce, Belgaum and; R.L. Law College, Belgaum",59,5,0,1,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
Suresh Kodikunnil,Elected,18-May-14,In office,Kerala,Mavelikkara,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Government Law College, Trivandrum (Kerala) ",52,11,0,73,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
Sushil Kumar Singh,Elected,18-May-14,In office,Bihar,Aurangabad,Janata Dal (United),Male,Post Graduate,"M.A. (Political Science); Educated at A.N. College, Magadh University, Patna (Bihar) ",51,7,0,18,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Sushma Swaraj,Elected,18-May-14,In office,Madhya Pradesh,Vidisha,Bharatiya Janata Party,Female,Graduate,"B.A., L.L.B.; Educated at S.D. College, Ambala Cantt. (Haryana) and Law Deptt. Panjab University, Chandigarh",62,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Sushmita Dev,Elected,18-May-14,In office,Assam,Silchar,Indian National Congress,Female,Post Graduate,Information not available,41,7,0,5,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.6,0,10,85%
Suvendu Adhikari,Elected,18-May-14,In office,West Bengal,Tamluk,All India Trinamool Congress,Male,Graduate,B.A. (Hons.); Educated at Contai P. K. College,43,4,0,13,36, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Swami Sachchidanand Hari Sakshi,Elected,18-May-14,In office,Uttar Pradesh,Unnao,Bharatiya Janata Party,Male,Doctorate,Information not available,58,6,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
T. Radhakrishnan,Elected,18-May-14,In office,Tamil Nadu,Virudhunagar,All India Anna Dravida Munnetra Kazhagam,Male,Under Matric,Information not available,59,1,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
T.G. Venkatesh Babu,Elected,18-May-14,In office,Tamil Nadu,Chennai North,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,Information not available,53,8,0,51,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
Tamradhwaj Sahu,Elected,18-May-14,In office,Chhattisgarh,Durg,Indian National Congress,Male,Inter/ Higher Secondary,Information not available,65,6,0,1,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,8,91%
Tapas Mandal,Elected,18-May-14,In office,West Bengal,Ranaghat,All India Trinamool Congress,Male,Doctorate,Information not available,42,1,0,1,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Tapas Paul,Elected,18-May-14,In office,West Bengal,Krishnanagar,All India Trinamool Congress,Male,Graduate,B.Sc. (Bio Science); Educated at Burdwan University,55,0,0,0,5, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Tariq Anwar,Elected,18-May-14,In office,Bihar,Katihar,Nationalist Congress Party,Male,Graduate,"B.Sc. Educated at College of Commerce, Patna, Magadh University, Bodh Gaya (Bihar)",63,5,0,10,90, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Tariq Hameed Karra,Elected,18-May-14,In office,Jammu and Kashmir,Srinagar,Jammu and Kashmir Peoples Democratic Party,Male,Graduate,Information not available,58,1,0,10,64, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3,0,6,59%
Tasleem Uddin,Elected,18-May-14,In office,Bihar,Araria,Rashtriya Janata Dal,Male,Under Matric,Information not available,72,0,0,0,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Tathagata Satpathy,Elected,18-May-14,In office,Odisha,Dhenkanal,Biju Janata Dal,Male,Graduate,"B.A.; Educated at Sri Aurobindo International Centre of Education, Pondicherry",58,3,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Thangso Baite,Elected,18-May-14,In office,Manipur,Outer Manipur,Indian National Congress,Male,Post Graduate,M.A.,61,1,0,1,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3,0,12,100%
Thokchom Meinya,Elected,18-May-14,In office,Manipur,Inner Manipur,Indian National Congress,Male,Doctorate,"M.Sc., LL.B., M. Phil, Ph. D.; Educated at D.M. College, Imphal, Guwahati University, Guwahati and Osmania University, Hyderabad",68,5,0,23,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3,0,12,100%
Thota Narasimham,Elected,18-May-14,In office,Andhra Pradesh,Kakinada,Telugu Desam Party,Male,Graduate,Information not available,53,6,0,32,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Thupstan Chhewang,Elected,18-May-14,In office,Jammu and Kashmir,Ladakh,Bharatiya Janata Party,Male,Graduate,Information not available,67,1,0,6,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3,0,6,59%
Udasi Shivkumar Chanabasappa,Elected,18-May-14,In office,Karnataka,Haveri,Bharatiya Janata Party,Male,Graduate,"B.E.; Educated at Bangalore Institute of Engineering, Bangalore, Karnataka",47,16,0,35,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
Uday Pratap Singh,Elected,18-May-14,In office,Madhya Pradesh,Hoshangabad,Bharatiya Janata Party,Male,Graduate,B.Com Educated at Sagar University,50,0,0,5,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Udit Raj,Elected,18-May-14,In office,Delhi,North West Delhi,Bharatiya Janata Party,Male,Doctorate,Information not available,56,3,0,4,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.7,0,2,93%
